stock,result
EFA,"{'gamma': 0.5000015145473393, 'sigma': 0.18170000000000003}"
GLD,"{'gamma': 0.500003843597769, 'sigma': 0.1886}"
NFLX,"{'gamma': 0.5, 'sigma': 0.3797}"
NOW,"{'gamma': 0.5000000682475255, 'sigma': 0.41490000000000005}"
NVDA,"{'gamma': 0.4999621735888046, 'sigma': 0.4869}"
PANW,"{'gamma': 0.4999578039070852, 'sigma': 0.4538}"
PLTR,"{'gamma': 0.5000201828369548, 'sigma': 0.9766}"
TSLA,"{'gamma': 0.5000175406610934, 'sigma': 0.6865000000000001}"
QQQ,"{'gamma': 0.49999094602637695, 'sigma': 0.2696}"
VISA,"{'gamma': 0.4999999797901866, 'sigma': 0.293}"
XLE,"{'gamma': 0.5000018476295848, 'sigma': 0.3044}"
XLF,"{'gamma': 0.49990522346289584, 'sigma': 0.2544}"
