stock,result
EFA,"{'v0': 0.18170000000000003, 'kappa': 0.03329915566949591, 'theta': 1.0000473394298217, 'volOfVol': 0.03330437238339641, 'rho': -0.49793513661600275}"
GLD,"{'v0': 0.1886, 'kappa': 0.03620388215208014, 'theta': 0.9999426701428373, 'volOfVol': 0.036205150625864886, 'rho': -0.49996817545846334}"
NFLX,"{'v0': 0.3797, 'kappa': 0.17125619927178032, 'theta': 0.9725458960578813, 'volOfVol': 1e-06, 'rho': -0.999}"
NOW,"{'v0': 0.41490000000000005, 'kappa': 0.1831515048491886, 'theta': 1.0004184469843784, 'volOfVol': 0.11961058889697182, 'rho': -0.4990048593096147}"
NVDA,"{'v0': 0.4869, 'kappa': 0.2719740679105075, 'theta': 0.9283346559179778, 'volOfVol': 1e-06, 'rho': -0.999}"
PANW,"{'v0': 0.4538, 'kappa': 0.22388471333913915, 'theta': 0.989368218484348, 'volOfVol': 0.13422802019084856, 'rho': -0.8106227994295903}"
PLTR,"{'v0': 0.9766, 'kappa': 1.0246470342973222, 'theta': 0.001, 'volOfVol': 0.6268560006743595, 'rho': -0.999}"
TSLA,"{'v0': 0.6865000000000001, 'kappa': 0.46615691377596125, 'theta': 0.001, 'volOfVol': 1e-06, 'rho': -0.999}"
QQQ,"{'v0': 0.2696, 'kappa': 0.0756461877183619, 'theta': 1.000020195869759, 'volOfVol': 0.05632044015392478, 'rho': -0.5000124197266802}"
VISA,"{'v0': 0.293, 'kappa': 0.08646319192781522, 'theta': 1.0170086111607661, 'volOfVol': 0.1663076642930082, 'rho': 0.0}"
XLE,"{'v0': 0.3044, 'kappa': 0.10497657425677714, 'theta': 0.9875783217146412, 'volOfVol': 1e-06, 'rho': -0.9322450543382903}"
XLF,"{'v0': 0.2544, 'kappa': 0.06742734146364282, 'theta': 1.000008936415398, 'volOfVol': 0.05224208351336348, 'rho': -0.4999082968795386}"
