stock,result
EFA,"{'mu': 0.0, 'sigma': 0.1699812302383772, 'lambda': 0.09391538406161161, 'mu_J': -0.27314926446807153, 'sigma_J': 0.20928288727703387}"
GLD,"{'mu': 0.0, 'sigma': 0.1833551678237672, 'lambda': 0.09858532258016373, 'mu_J': 0.00017504860551531177, 'sigma_J': 0.19906102975773768}"
NFLX,"{'mu': 0.0, 'sigma': 0.37387443209651916, 'lambda': 0.11683948158818745, 'mu_J': -0.0023719409072195017, 'sigma_J': 0.21129839163500774}"
NOW,"{'mu': 0.0, 'sigma': 0.4097642915622669, 'lambda': 0.12379897945587764, 'mu_J': -0.0016500388890221126, 'sigma_J': 0.2155304802996637}"
NVDA,"{'mu': 0.0, 'sigma': 0.3593652313555119, 'lambda': 0.4611057947580223, 'mu_J': -0.9532009999437513, 'sigma_J': 0.6510099633805352}"
PANW,"{'mu': 0.0, 'sigma': 0.35389595720666656, 'lambda': 0.5471856738458595, 'mu_J': -0.548214042360882, 'sigma_J': 0.504619882102249}"
PLTR,"{'mu': 0.0, 'sigma': 0.98255373357491, 'lambda': 0.0001, 'mu_J': 0.002866996051757696, 'sigma_J': 0.1868829516227844}"
TSLA,"{'mu': 0.0, 'sigma': 0.6319469561679989, 'lambda': 0.2758707313830194, 'mu_J': -0.5672368974736818, 'sigma_J': 0.1719611984120236}"
QQQ,"{'mu': 0.0, 'sigma': 0.23624278380826425, 'lambda': 0.10946166274859732, 'mu_J': -0.8447099595275214, 'sigma_J': 0.045822382012691495}"
VISA,"{'mu': 0.0, 'sigma': 0.3194632884452705, 'lambda': 0.08312858159319172, 'mu_J': 1.0, 'sigma_J': 0.24062875231239755}"
XLE,"{'mu': 0.0, 'sigma': 0.21732581632349685, 'lambda': 0.8668553485685819, 'mu_J': -0.29525246839692554, 'sigma_J': 0.0001}"
XLF,"{'mu': 0.0, 'sigma': 0.22995260585290447, 'lambda': 0.11707561222803528, 'mu_J': -0.551300543677507, 'sigma_J': 0.04873411608389207}"
