assets,mu,sigma,gamma,kappa,theta,xi,rho,v0,lambda,jump_mu,jump_sigma
EFA,0.09927135505732745,0.17569143092714626,0.31596246552956997,0.04074138487037823,1.0,0.3,-0.3,0.009628000552320456,0.08064516129032258,-0.0023549250377814836,0.031122210241933405
GLD,0.369781942334611,0.1626570330007062,0.48425584654213527,0.008272169093881343,1.0,0.3,-0.3,0.022954871475454084,0.12096774193548387,-0.0038353578901071926,0.02210270641153158
NFLX,0.6240590288245463,0.3252683395718803,0.563316290057772,0.13065886321933282,0.9466428568692686,0.3,-0.3,0.04427765468914304,0.06451612903225806,-0.004523349502576993,0.06188604393690577
NOW,0.15329949685602465,0.4128151665113039,0.5707111458050699,0.08182523659527777,0.9999005106316258,0.3,-0.3,0.135403097624662,0.08064516129032258,-0.010507334084446459,0.07508174688844459
NVDA,0.4284110299577363,0.6009634874701291,0.4033588782464591,0.29472756882073414,1.0,0.3,-0.3,0.2613276319867739,0.12096774193548387,-0.016540018669769438,0.0851904582325169
PANW,0.2414946420795449,0.3603071039181032,0.4479440983128209,0.11838798771757543,1.0,0.3,-0.3,0.0734703604469353,0.11693548387096774,-0.004801836650153848,0.052029329772567634
PLTR,1.7766333963018,0.7199475807248484,0.2731402883372621,0.7872132162873003,1.0,0.3,-0.3,0.25493999657403005,0.08870967741935484,0.020029374325799494,0.12459518426933106
QQQ,0.09643771944885061,0.24934847672749597,0.5096791522610633,0.0947403734258779,0.9419465613896405,0.3,-0.3,0.015599942187268942,0.10887096774193548,-0.012093425112374849,0.03826880037019659
TSLA,0.8049958040008265,0.7396180728970301,0.4815854645178641,0.5535210161682966,1.0,0.3,-0.3,0.37907343424282836,0.09274193548387097,0.030185502356924528,0.11557051181605915
V,0.22475964463007767,0.21526753932462947,0.4821686795398016,0.07357322878878973,0.9374099331688839,0.3,-0.3,0.013416403671982569,0.0967741935483871,-0.0023175517643789995,0.036865407646940164
XLE,-0.09779654047763656,0.24908729218768924,0.3327878415931761,0.0852045810318505,1.0,0.3,-0.3,0.01909266504861187,0.08870967741935484,-0.016647881623423334,0.03944662827321347
XLF,0.1697332156697327,0.19818961873136753,0.2148613621913794,0.06532487894768514,1.0,0.3,-0.3,0.005819588998256825,0.06048387096774194,-0.00930943495328955,0.04094035892481212
