Step,EFA,GLD,NFLX,NOW,NVDA,PANW,PLTR,QQQ,TSLA,V,XLE,XLF
0,81.09999847001114,306.11999509996616,973.0300292999599,772.1599730998792,101.48999789998187,167.69000239997692,93.77999877999578,444.1000060998986,241.36999509996832,329.60998539999173,81.5,46.650001530007806
1,81.12246833558406,306.5429073593769,975.2904234297661,890.4194355377085,553.9313551130234,168.98772045907322,94.34016848932012,480.4355830474607,241.82243506770575,329.857002949159,872671597.8636831,46.67772861298841
2,81.14934743477025,306.9411860418949,977.6531779522854,1026.6559988076908,3023.3446899439423,170.31053132337226,94.89556631241891,519.78434686195,242.35502057020688,330.12637452468744,9344241935173290.0,46.704626013912836
3,81.17935297558924,307.37474906080223,979.8359534830035,1183.776913542198,16501.46095098186,171.63176929466886,95.46390045549333,562.3535045471286,242.88295798908732,330.3790688301078,1.0005465693715575e+23,46.734506877471084
4,81.20797639451123,307.810524223809,981.8794273797894,1365.2146611117223,90065.24833264801,172.96043405514646,96.04555767060586,608.4148301308192,243.38693843791793,330.64083996393197,1.0713479428576473e+30,46.764889062729
5,81.23507199574657,308.2530840966519,984.1840445534621,1574.2484628361856,491577.5933583373,174.2923714184349,96.63681766295623,658.232543207405,243.96862162878568,330.86779594874776,1.1471594124661505e+37,46.79386391866077
6,81.25985672197992,308.67934928345,986.4235031454664,1815.2090079099785,2683038.495746673,175.67227304947113,97.25070161580683,712.1430513785189,244.49355252196287,331.1589601954186,1.2283355061097535e+44,46.82072785521509
7,81.2821603564613,309.12471540480016,988.6772965941004,2093.135517967184,14644067.675680047,177.05270078838976,97.87084153579528,770.4407821635887,245.04303224839987,331.42942740857507,1.3152558390522885e+51,46.850788287154195
8,81.31164716490265,309.5593846465583,990.8615609778282,2413.621877220127,79927559.16049933,178.46610016776725,98.45734486845467,833.5633142367599,245.54369415052975,331.69405155981815,1.4083268891574172e+58,46.87677112637872
9,81.3388997801852,310.01029959569024,993.1769640941277,2782.9850590982282,436245915.750381,179.86921267597054,99.07099695233383,901.8149149470147,246.15302171974005,331.9679576190076,1.5079838977585757e+65,46.906614066357655
10,81.36705375814147,310.45379472145123,995.4415928982571,3208.924421345608,2381037291.8129377,181.264165654091,99.6647979754349,975.6581976293282,246.65276746725294,332.225403584572,1.6146929050397262e+72,46.93492908589467
11,81.396178357075,310.87524102272425,997.6576838468371,3700.1684091505945,12995740201.364449,182.652783792989,100.26273439153913,1055.549210660968,247.1400307437738,332.4842471990569,1.7289529294450464e+79,46.96407699909245
12,81.42665750584148,311.30608707415263,1000.1517130646564,4266.832443983543,70930961040.38936,184.0363455296263,100.85944881924742,1141.9567923940754,247.62876640191894,332.7521487920925,1.8512983013095303e+86,46.9934283299129
13,81.45122331839873,311.766931659791,1002.3818658832026,4919.978447812335,387142337116.38965,185.47884368201105,101.49570999729447,1235.415991447188,248.20243340402232,333.0430674156337,1.982301161623653e+93,47.02230480944412
14,81.48546653676591,312.24434704749564,1004.7397996331656,5673.5545495861925,2113029162294.787,186.91210677627268,102.13091860249271,1336.5462455828865,248.68603441547114,333.3124311793493,2.1225741376173227e+100,47.05113734135395
15,81.51561872565571,312.69386102134325,1007.2550880599048,6542.439175678708,11532947478606.416,188.38415769447838,102.76322304542872,1445.985721095958,249.27938967498864,333.5980534251675,2.2727732076753414e+107,47.08036723669047
16,81.54570915284799,313.14725126355995,1009.6206181898922,7544.077725889428,62947014607145.266,189.84214848675475,103.37221306988882,1564.3936916743728,249.88426803470085,333.8706629824061,2.433600768982007e+114,47.10586745962984
17,81.57252049175176,313.5992183257053,1011.9771683363263,8699.56274742124,343565827842558.5,191.30618305446475,103.96792557168834,1692.4955685074985,250.50344427763926,334.1124304897027,2.605808922240612e+121,47.13436583202974
18,81.59721447250487,314.04470349227654,1014.2530016534226,10031.691303650472,1875187867094555.5,192.82056894625092,104.58373774448218,1831.1063822517342,251.04105043975025,334.3794423968273,2.7902029888284363e+128,47.16610306601171
19,81.62992570434953,314.4817607860367,1016.5306740153309,11568.28997142057,1.0234805827400246e+16,194.32135160198894,105.227044093687,1980.9329970718647,251.6002283526774,334.6592220085573,2.9876452768351745e+135,47.196665433123435
20,81.66003225313933,314.93593305414953,1018.9593400380096,13339.917459891949,5.5861736395986024e+16,195.8139332472719,105.85616484485415,2143.1229420661944,252.18556489601437,334.9375214249419,3.199059113596426e+142,47.22609707011307
21,81.69054566068664,315.4156902416315,1021.3274938765572,15382.438456991318,3.048942643171996e+17,197.34267079405635,106.48850197356317,2318.621710456488,252.7682003140436,335.2435401886575,3.4254331635799703e+149,47.25535673473894
22,81.71388825244999,315.84209332249367,1023.4524546430472,17738.253978957193,1.6641178454346627e+18,198.88285950251202,107.11120310790166,2508.3923656182556,253.2205155087907,335.5079158749743,3.667826051817623e+156,47.284524808219906
23,81.74049380937913,316.30096019059005,1025.8114093351517,20454.572591113974,9.082782221882116e+18,200.40085824757236,107.75977082797306,2713.869893518414,253.76596105566335,335.75254418521916,3.9273713145032314e+163,47.315995869005974
24,81.76488710875458,316.77075820742806,1028.1747709789367,23586.678242568214,4.9573972850817e+19,201.9521442362838,108.42812537967116,2936.011853632972,254.36641506593335,336.0180040773027,4.205282699908644e+170,47.342702243776046
